"","X.3","X.2","X.1","X","Census.Tract","Pesticides","Tox..Release","Pollution.Burden.Score","PM2.5","Traffic","Ozone","Asthma"
"1",1,1,1,1,6019001100,1.001924749,4859.094604,9.64312530553094,13.90634758,1037.095744,0.060311,129.54
"2",2,2,2,2,6077000700,63.13257433,519.6280009,8.96639809068491,11.88408494,856.395935,0.04588368,105.88
"3",3,3,3,3,6037204920,0,3682.693278,9.48387950681369,12.25164028,2522.622269,0.04791979,76.1
"4",4,4,4,4,6019000700,44.57487362,1630.342707,8.28408517366177,13.52093888,690.502159,0.060311,139.45
"5",5,5,5,5,6019000200,16.62549609,1975.207988,8.15943525967881,13.81895941,909.6508821,0.060311,139.08
"6",6,6,6,6,6037542402,0.406702708,12491.99626,9.33289452750615,12.25258001,1480.520959,0.04259906,86.77
"7",7,7,7,7,6019001000,1321.966958,3178.098409,8.10185289753064,13.55379682,243.2723063,0.060311,139.35
"8",8,8,8,8,6037543202,1.658628781,14883.20671,8.94670798266388,12.21666021,1575.35455,0.04192559,114.33
"9",9,9,9,9,6019001202,8.993621886,25576.25792,8.74831947481469,13.96606425,438.594055,0.06133785,89.27
"10",10,10,10,10,6077000100,16.09037941,369.7826741,7.83310597650921,11.87572931,287.4559495,0.04588368,238.03
"11",11,11,11,11,6037203300,0,1894.993347,9.09180169755512,12.57687534,2125.866346,0.04939042,65.53
"12",12,12,12,12,6037291220,66.49670991,19774.78971,10,12.0660607,3455.239256,0.04125212,64.77
"13",13,13,13,13,6037433501,0.009053201,2234.535319,8.88322479554764,12.00416809,905.045862,0.05462941,65.92
"14",14,14,14,14,6037243100,0,8878.613322,7.80192714507807,12.0902374,2484.965675,0.0438112,129.2
"15",15,15,15,15,6037227010,0,2762.896647,8.57283635746853,12.09940492,832.5616204,0.04632538,68.48
"16",16,16,16,16,6037226001,0,2607.823324,9.25007634210407,12.15802236,2429.418553,0.04632538,72.02
"17",17,17,17,17,6019000300,59.94428045,2385.267741,8.35522814798801,13.77605928,641.6004036,0.060311,139.35
"18",18,18,18,18,6037433101,0.599598535,2118.801005,9.11566857263045,11.94103408,2834.65939,0.05605125,60.57
"19",19,19,19,19,6037239202,0,3873.586792,8.20872248914821,12.14495497,1052.626827,0.04490202,84.75
"20",20,20,20,20,6037206050,0,2566.769979,9.31515036867288,12.41537427,3665.685846,0.04753555,51.49
"21",21,21,21,21,6037205120,0,4157.740072,9.10337208685585,12.27407804,928.4647117,0.04716458,76.1
"22",22,22,22,22,6077000300,148.9157792,477.2403259,8.59831859505523,11.66075863,726.7471757,0.04588368,154.59
"23",23,23,23,23,6037226002,0,2428.106649,9.33027909239104,12.25156535,1931.043768,0.04716458,134.16
